,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,1255869.148687947,1256022.172481586,1269240.3245737609,1271294.7976927564,1272278.878117681,1300435.952477564,1319411.886684756,1355165.1534439984,1399146.3374154416,1416737.9723328,1450337.479994469,1474325.087811427,1484220.3023302015,1485462.2579004085,1535130.726062472,1556552.2783871247,1567551.5749898553,1589528.6110274522,1601080.524622131,1613669.6778708512,1601752.3088861704,1602269.3960541268,1612132.7143584143,1580648.001799779,1567191.272134041
1,236533.88177860703,247910.71039820585,227792.98729546988,227964.6811294536,229510.45586354128,239439.10360798685,249026.4189002697,247423.17609325532,245312.5186689384,240320.1515277396,241288.0301789536,253142.42065631226,258388.6393158765,276055.4434234817,275507.68272308464,278431.4615908602,269943.0638489205,261723.46359168808,261303.40403138692,240571.95431345468,254838.0591293094,247879.9140566908,239691.3453065377,240127.6255224288,228997.8557579751
2,400371.4860362611,376803.15878341795,349766.059393734,311854.57576805697,264619.07022059994,241109.347036197,247125.58265803198,258847.51781154601,248006.49468591297,238493.52617013,233879.174877969,233765.4827745,230051.60365545,237476.1564660809,251064.898702008,256788.296098566,268348.96633883397,266761.92584426404,277093.046915328,267670.96877697,273550.648074468,275015.18102871603,272775.343745811,279111.73633998,275686.93967345404
3,438063.7102817468,446477.09822531656,445154.18045086716,442180.1838932549,455647.1175797879,462060.8811106165,472970.06134884025,447490.3677414962,463021.1786035979,444187.33085841616,447639.05173639423,442878.4004587862,441721.0958403901,442737.2090826188,446914.2142963889,434409.24609093904,423140.1225203583,409354.0178075433,416248.8781705951,377435.4060914007,399775.216985214,368500.1865369511,356284.01456966146,358125.9045463415,341599.857001623
4,206901.5683018064,163852.03873481546,154398.69235698937,152390.59825816395,145531.2302044734,148524.16018870095,148762.17489819502,141808.8435821098,133697.32928247188,120180.21547860384,118310.11249677619,124442.6716636342,118564.01172933329,128042.7330131688,126461.45902239338,126917.80553335234,128236.79111486982,135884.83725758386,133450.6187144602,115671.94547091679,121038.39255695266,131715.20816933722,121446.98203036224,111194.05149285805,115615.18593928436
5,1842640.2139184158,1822957.361146,1870661.5256239881,1880636.5836397046,1945015.5599603725,2018992.9621786587,2060077.0752175755,2103451.2352213133,2144145.16361893,2172761.608479017,2234472.4549352275,2204106.6823455533,2224670.0536170457,2276049.192628508,2282171.5985999857,2248813.1662346018,2222501.190520699,2282884.166598291,2221593.1146795773,2094722.8128129488,2130983.827259708,2142391.4465276045,2166169.6625267253,2200271.3143994845,2212009.6390272607
6,93613.89379052188,73226.05135748579,67614.10170095699,67974.88345051944,65138.291930278865,66888.50174809527,68648.88944978041,72378.8212960073,73379.13253875688,76557.25009627643,75518.88856778195,79182.13703334988,82260.28971691357,86348.46397805789,86627.95430210786,87857.2547358906,88667.04668672402,92918.7362696277,89477.84159837312,83727.37708679847,81840.68950487093,80321.47901729068,74203.94945923975,71311.65830580567,68696.63447844447
7,16873.949766001202,18364.587003453,19677.9919064298,20576.22206196768,21309.398035093378,21140.797831896092,22030.613640587013,22419.28527480711,23398.67777203539,24177.25017313212,24980.657202225328,24847.64421246435,25557.24420849834,26743.74927821571,27433.114266638368,27923.94167783583,28702.641579224848,29739.70384997595,30279.809903974838,29616.55106496952,28714.97166138681,27888.48939105853,26308.09807769526,24060.295409911407,25361.30223989091
8,591639.0959417451,534906.7546294298,514322.4312667287,490800.274146995,467329.0748498482,468609.8272210121,475102.393509254,463296.34358065954,445683.9382240266,418534.4638118685,447003.057609746,445656.66233206046,434819.6578823285,444882.58969342994,447263.89033354813,440713.3435734249,446058.0768672498,448624.0674411245,434731.3325832665,409422.6577372458,415601.78741161263,411956.00545287435,399509.4058682074,387732.28232591937,373524.3921022879
9,211961.2455179528,243955.4394048053,226310.37919630192,231990.34594671987,243858.8182508423,234668.51145215696,273608.7002828979,244688.1779935575,232084.2354216365,224679.19622880872,211269.70912524825,216567.72449676375,215153.7526680629,230043.03213862574,211686.37382464146,198311.23149326482,221566.6689676837,207669.2650156972,196635.73514227962,188059.219088424,189387.8474723437,173724.85579179865,159276.35059038052,165403.71984395047,152777.25785415195
