,loss,mae,mse,val_loss,val_mae,val_mse,epoch
0,46249553920.0,88354.3671875,46249553920.0,76809519104.0,139929.484375,76809519104.0,0
1,19944894464.0,74077.6015625,19944894464.0,266205003776.0,289875.34375,266205003776.0,1
2,26373793792.0,83227.9609375,26373793792.0,489164636160.0,372663.5,489164636160.0,2
3,29955219456.0,93701.59375,29955219456.0,256273039360.0,277624.5,256273039360.0,3
4,24391993344.0,80939.9296875,24391993344.0,26095814656.0,105969.765625,26095814656.0,4
5,18405394432.0,75100.8046875,18405394432.0,63515553792.0,160981.921875,63515553792.0,5
6,16911749120.0,70514.6484375,16911749120.0,291781410816.0,313007.21875,291781410816.0,6
7,19307364352.0,69442.015625,19307364352.0,415791251456.0,369895.84375,415791251456.0,7
8,20560168960.0,69164.46875,20560168960.0,325173084160.0,334778.0625,325173084160.0,8
9,18529615872.0,67728.7265625,18529615872.0,140623216640.0,235100.625,140623216640.0,9
10,15153517568.0,65741.1328125,15153517568.0,27906150400.0,106984.9765625,27906150400.0,10
11,13206735872.0,65572.6875,13206735872.0,47403671552.0,136670.953125,47403671552.0,11
12,13494846464.0,66509.875,13494846464.0,121502023680.0,176773.546875,121502023680.0,12
13,14530630656.0,67066.3515625,14530630656.0,150067773440.0,192243.921875,150067773440.0,13
14,14489375744.0,66388.125,14489375744.0,110960222208.0,184121.96875,110960222208.0,14
15,13023734784.0,64573.48046875,13023734784.0,60228898816.0,159403.40625,60228898816.0,15
16,11233503232.0,62040.9375,11233503232.0,60270071808.0,128721.5546875,60270071808.0,16
17,10349835264.0,59513.90625,10349835264.0,116054859776.0,201430.5,116054859776.0,17
18,10561217536.0,57945.05078125,10561217536.0,174293991424.0,250648.453125,174293991424.0,18
19,10953088000.0,57536.328125,10953088000.0,183820124160.0,254890.265625,183820124160.0,19
20,10600463360.0,56686.5,10600463360.0,147154157568.0,218035.84375,147154157568.0,20
21,9561070592.0,55418.34375,9561070592.0,110122450944.0,157476.609375,110122450944.0,21
22,8703265792.0,54637.75390625,8703265792.0,109444161536.0,195794.28125,109444161536.0,22
23,8460124160.0,54876.69921875,8460124160.0,139408687104.0,227044.03125,139408687104.0,23
24,8669511680.0,54871.09375,8669511680.0,166156845056.0,244326.328125,166156845056.0,24
25,8726533120.0,54316.61328125,8726533120.0,167580925952.0,245716.125,167580925952.0,25
26,8260423680.0,53071.58203125,8260423680.0,157251616768.0,234802.984375,157251616768.0,26
27,7569596928.0,51382.04296875,7569596928.0,160714686464.0,217428.609375,160714686464.0,27
28,7223781888.0,49585.33203125,7223781888.0,183779115008.0,202022.59375,183779115008.0,28
29,7304458240.0,48628.875,7304458240.0,205629915136.0,207211.015625,205629915136.0,29
30,7394611200.0,48145.5,7394611200.0,206756003840.0,202755.921875,206756003840.0,30
31,7150725632.0,47302.42578125,7150725632.0,194550726656.0,214707.046875,194550726656.0,31
32,6779788800.0,46310.859375,6779788800.0,187475984384.0,234388.875,187475984384.0,32
33,6585464832.0,46313.86328125,6585464832.0,195560374272.0,253304.234375,195560374272.0,33
34,6630499840.0,46509.66796875,6630499840.0,208605462528.0,265454.0625,208605462528.0,34
35,6725694976.0,46406.13671875,6725694976.0,213338685440.0,267685.6875,213338685440.0,35
36,6643129856.0,45841.01953125,6643129856.0,210805882880.0,260945.09375,210805882880.0,36
37,6419527680.0,44865.859375,6419527680.0,212357742592.0,249676.03125,212357742592.0,37
38,6272661504.0,45293.23828125,6272661504.0,222378754048.0,239901.5,222378754048.0,38
39,6286473216.0,45650.484375,6286473216.0,233007169536.0,236772.390625,233007169536.0,39
40,6314013184.0,46173.390625,6314013184.0,236520177664.0,241950.984375,236520177664.0,40
41,6286364160.0,46198.15234375,6286364160.0,235432132608.0,254782.28125,235432132608.0,41
42,6136902144.0,45539.94140625,6136902144.0,238327250944.0,269361.4375,238327250944.0,42
