country_or_area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,1255869.148687947,1256022.172481586,1269240.324573761,1271294.7976927564,1272278.878117681,1300435.9524775639,1319411.886684756,1355165.1534439984,1399146.3374154416,1416737.9723328,1450337.4799944693,1474325.0878114267,1484220.3023302015,1485462.2579004085,1535130.726062472,1556552.2783871247,1567551.5749898553,1589528.6110274522,1601080.5246221307,1613669.6778708512,1601752.3088861702,1602269.396054127,1612132.7143584143,1580648.001799779,1567191.272134041
Austria,236533.88177860706,247910.71039820585,227792.9872954699,227964.68112945362,229510.45586354134,239439.10360798685,249026.41890026967,247423.17609325534,245312.5186689384,240320.15152773957,241288.03017895357,253142.42065631226,258388.63931587653,276055.4434234817,275507.68272308464,278431.4615908602,269943.0638489205,261723.46359168814,261303.40403138692,240571.95431345468,254838.0591293094,247879.91405669076,239691.34530653764,240127.62552242877,228997.8557579751
Belarus,400371.4860362611,376803.158783418,349766.059393734,311854.575768057,264619.07022059994,241109.347036197,247125.582658032,258847.517811546,248006.49468591297,238493.52617013,233879.174877969,233765.4827745,230051.60365545,237476.15646608098,251064.898702008,256788.29609856597,268348.966338834,266761.92584426404,277093.04691532796,267670.96877697,273550.648074468,275015.181028716,272775.343745811,279111.73633998,275686.93967345404
Belgium,438063.71028174675,446477.0982253166,445154.1804508672,442180.1838932549,455647.1175797879,462060.8811106165,472970.0613488402,447490.36774149624,463021.1786035979,444187.3308584162,447639.05173639423,442878.4004587862,441721.0958403901,442737.20908261876,446914.2142963888,434409.24609093904,423140.12252035824,409354.0178075433,416248.87817059504,377435.4060914007,399775.216985214,368500.1865369511,356284.01456966146,358125.9045463415,341599.857001623
Bulgaria,206901.56830180637,163852.03873481546,154398.69235698934,152390.59825816395,145531.2302044734,148524.16018870095,148762.17489819502,141808.8435821098,133697.32928247188,120180.21547860383,118310.1124967762,124442.6716636342,118564.01172933327,128042.73301316879,126461.45902239338,126917.80553335235,128236.79111486982,135884.83725758386,133450.6187144602,115671.9454709168,121038.39255695266,131715.2081693372,121446.98203036224,111194.05149285805,115615.18593928436
Canada,1842640.213918416,1822957.3611460002,1870661.5256239881,1880636.5836397046,1945015.5599603725,2018992.9621786587,2060077.0752175755,2103451.235221313,2144145.16361893,2172761.608479017,2234472.4549352275,2204106.6823455533,2224670.053617046,2276049.192628508,2282171.5985999857,2248813.1662346018,2222501.190520699,2282884.166598291,2221593.1146795773,2094722.8128129486,2130983.8272597073,2142391.4465276045,2166169.6625267253,2200271.3143994845,2212009.6390272607
Croatia,93613.89379052189,73226.05135748579,67614.10170095699,67974.88345051944,65138.291930278865,66888.50174809528,68648.88944978041,72378.8212960073,73379.13253875688,76557.25009627642,75518.88856778195,79182.13703334989,82260.28971691358,86348.46397805789,86627.95430210786,87857.2547358906,88667.04668672402,92918.7362696277,89477.84159837312,83727.37708679846,81840.68950487093,80321.47901729067,74203.94945923975,71311.65830580567,68696.63447844448
Cyprus,16873.9497660012,18364.587003452998,19677.991906429797,20576.22206196768,21309.398035093378,21140.797831896092,22030.61364058701,22419.28527480711,23398.67777203539,24177.25017313212,24980.657202225328,24847.64421246435,25557.24420849834,26743.74927821571,27433.11426663837,27923.94167783583,28702.641579224848,29739.70384997595,30279.80990397484,29616.551064969513,28714.97166138681,27888.489391058523,26308.09807769526,24060.295409911407,25361.30223989091
Czech Republic,591639.0959417451,534906.7546294298,514322.4312667287,490800.274146995,467329.07484984817,468609.8272210121,475102.3935092541,463296.3435806595,445683.9382240266,418534.4638118685,447003.057609746,445656.66233206046,434819.6578823284,444882.58969342994,447263.8903335481,440713.3435734249,446058.0768672498,448624.06744112447,434731.3325832665,409422.6577372458,415601.78741161263,411956.0054528744,399509.4058682074,387732.28232591937,373524.39210228785
Denmark,211961.2455179528,243955.4394048053,226310.3791963019,231990.3459467199,243858.81825084228,234668.51145215696,273608.7002828979,244688.1779935575,232084.23542163652,224679.1962288087,211269.70912524825,216567.7244967638,215153.7526680629,230043.0321386258,211686.37382464146,198311.23149326476,221566.6689676837,207669.26501569716,196635.7351422796,188059.21908842397,189387.84747234377,173724.85579179862,159276.35059038052,165403.71984395047,152777.25785415195
